"";"id";"date";"store_nbr";"family";"sales";"onpromotion"
"128506";128505;"2013-03-14";15;"BEVERAGES";421;0
"130288";130287;"2013-03-15";15;"BEVERAGES";553;0
"132070";132069;"2013-03-16";15;"BEVERAGES";585;0
"133852";133851;"2013-03-17";15;"BEVERAGES";530;0
"135634";135633;"2013-03-18";15;"BEVERAGES";701;0
"137416";137415;"2013-03-19";15;"BEVERAGES";452;0
"139198";139197;"2013-03-20";15;"BEVERAGES";594;0
"140980";140979;"2013-03-21";15;"BEVERAGES";442;0
"142762";142761;"2013-03-22";15;"BEVERAGES";516;0
"144544";144543;"2013-03-23";15;"BEVERAGES";597;0
"146326";146325;"2013-03-24";15;"BEVERAGES";623;0
"148108";148107;"2013-03-25";15;"BEVERAGES";577;0
"149890";149889;"2013-03-26";15;"BEVERAGES";711;0
"151672";151671;"2013-03-27";15;"BEVERAGES";466;0
"153454";153453;"2013-03-28";15;"BEVERAGES";526;0
"155236";155235;"2013-03-29";15;"BEVERAGES";457;0
"157018";157017;"2013-03-30";15;"BEVERAGES";842;0
"158800";158799;"2013-03-31";15;"BEVERAGES";492;0
"160582";160581;"2013-04-01";15;"BEVERAGES";736;0
"162364";162363;"2013-04-02";15;"BEVERAGES";549;0
"164146";164145;"2013-04-03";15;"BEVERAGES";938;0
"165928";165927;"2013-04-04";15;"BEVERAGES";723;0
"167710";167709;"2013-04-05";15;"BEVERAGES";595;0
"169492";169491;"2013-04-06";15;"BEVERAGES";873;0
"171274";171273;"2013-04-07";15;"BEVERAGES";561;0
"173056";173055;"2013-04-08";15;"BEVERAGES";580;0
"174838";174837;"2013-04-09";15;"BEVERAGES";545;0
"176620";176619;"2013-04-10";15;"BEVERAGES";624;0
"178402";178401;"2013-04-11";15;"BEVERAGES";695;0
"180184";180183;"2013-04-12";15;"BEVERAGES";566;0
"181966";181965;"2013-04-13";15;"BEVERAGES";601;0
"183748";183747;"2013-04-14";15;"BEVERAGES";703;0
"185530";185529;"2013-04-15";15;"BEVERAGES";599;0
"187312";187311;"2013-04-16";15;"BEVERAGES";836;0
"189094";189093;"2013-04-17";15;"BEVERAGES";517;0
"190876";190875;"2013-04-18";15;"BEVERAGES";583;0
"192658";192657;"2013-04-19";15;"BEVERAGES";526;0
"194440";194439;"2013-04-20";15;"BEVERAGES";828;0
"196222";196221;"2013-04-21";15;"BEVERAGES";515;0
"198004";198003;"2013-04-22";15;"BEVERAGES";776;0
"199786";199785;"2013-04-23";15;"BEVERAGES";451;0
"201568";201567;"2013-04-24";15;"BEVERAGES";514;0
"203350";203349;"2013-04-25";15;"BEVERAGES";687;0
"205132";205131;"2013-04-26";15;"BEVERAGES";616;0
"206914";206913;"2013-04-27";15;"BEVERAGES";983;0
"208696";208695;"2013-04-28";15;"BEVERAGES";925;0
"210478";210477;"2013-04-29";15;"BEVERAGES";767;0
"212260";212259;"2013-04-30";15;"BEVERAGES";604;0
"214042";214041;"2013-05-01";15;"BEVERAGES";676;0
"215824";215823;"2013-05-02";15;"BEVERAGES";654;0
"217606";217605;"2013-05-03";15;"BEVERAGES";527;0
"219388";219387;"2013-05-04";15;"BEVERAGES";739;0
"221170";221169;"2013-05-05";15;"BEVERAGES";838;0
"222952";222951;"2013-05-06";15;"BEVERAGES";677;0
"224734";224733;"2013-05-07";15;"BEVERAGES";564;0
"226516";226515;"2013-05-08";15;"BEVERAGES";602;0
"228298";228297;"2013-05-09";15;"BEVERAGES";597;0
"230080";230079;"2013-05-10";15;"BEVERAGES";628;0
"231862";231861;"2013-05-11";15;"BEVERAGES";809;0
"233644";233643;"2013-05-12";15;"BEVERAGES";765;0
"235426";235425;"2013-05-13";15;"BEVERAGES";579;0
"237208";237207;"2013-05-14";15;"BEVERAGES";778;0
"238990";238989;"2013-05-15";15;"BEVERAGES";589;0
"240772";240771;"2013-05-16";15;"BEVERAGES";579;0
"242554";242553;"2013-05-17";15;"BEVERAGES";616;0
"244336";244335;"2013-05-18";15;"BEVERAGES";786;0
"246118";246117;"2013-05-19";15;"BEVERAGES";685;0
"247900";247899;"2013-05-20";15;"BEVERAGES";558;0
"249682";249681;"2013-05-21";15;"BEVERAGES";426;0
"251464";251463;"2013-05-22";15;"BEVERAGES";576;0
"253246";253245;"2013-05-23";15;"BEVERAGES";610;0
"255028";255027;"2013-05-24";15;"BEVERAGES";725;0
"256810";256809;"2013-05-25";15;"BEVERAGES";1114;0
"258592";258591;"2013-05-26";15;"BEVERAGES";725;0
"260374";260373;"2013-05-27";15;"BEVERAGES";657;0
"262156";262155;"2013-05-28";15;"BEVERAGES";568;0
"263938";263937;"2013-05-29";15;"BEVERAGES";544;0
"265720";265719;"2013-05-30";15;"BEVERAGES";638;0
"267502";267501;"2013-05-31";15;"BEVERAGES";512;0
"269284";269283;"2013-06-01";15;"BEVERAGES";923;0
"271066";271065;"2013-06-02";15;"BEVERAGES";844;0
"272848";272847;"2013-06-03";15;"BEVERAGES";931;0
"274630";274629;"2013-06-04";15;"BEVERAGES";594;0
"276412";276411;"2013-06-05";15;"BEVERAGES";733;0
"278194";278193;"2013-06-06";15;"BEVERAGES";564;0
"279976";279975;"2013-06-07";15;"BEVERAGES";654;0
"281758";281757;"2013-06-08";15;"BEVERAGES";930;0
"283540";283539;"2013-06-09";15;"BEVERAGES";776;0
"285322";285321;"2013-06-10";15;"BEVERAGES";664;0
"287104";287103;"2013-06-11";15;"BEVERAGES";552;0
"288886";288885;"2013-06-12";15;"BEVERAGES";747;0
"290668";290667;"2013-06-13";15;"BEVERAGES";795;0
"292450";292449;"2013-06-14";15;"BEVERAGES";731;0
"294232";294231;"2013-06-15";15;"BEVERAGES";936;0
"296014";296013;"2013-06-16";15;"BEVERAGES";729;0
"297796";297795;"2013-06-17";15;"BEVERAGES";667;0
"299578";299577;"2013-06-18";15;"BEVERAGES";664;0
"301360";301359;"2013-06-19";15;"BEVERAGES";610;0
"303142";303141;"2013-06-20";15;"BEVERAGES";747;0
"304924";304923;"2013-06-21";15;"BEVERAGES";621;0
"306706";306705;"2013-06-22";15;"BEVERAGES";1022;0
"308488";308487;"2013-06-23";15;"BEVERAGES";811;0
"310270";310269;"2013-06-24";15;"BEVERAGES";626;0
"312052";312051;"2013-06-25";15;"BEVERAGES";755;0
"313834";313833;"2013-06-26";15;"BEVERAGES";537;0
"315616";315615;"2013-06-27";15;"BEVERAGES";456;0
"317398";317397;"2013-06-28";15;"BEVERAGES";714;0
"319180";319179;"2013-06-29";15;"BEVERAGES";1156;0
"320962";320961;"2013-06-30";15;"BEVERAGES";745;0
"322744";322743;"2013-07-01";15;"BEVERAGES";680;0
"324526";324525;"2013-07-02";15;"BEVERAGES";727;0
"326308";326307;"2013-07-03";15;"BEVERAGES";620;0
"328090";328089;"2013-07-04";15;"BEVERAGES";611;0
"329872";329871;"2013-07-05";15;"BEVERAGES";554;0
"331654";331653;"2013-07-06";15;"BEVERAGES";889;0
"333436";333435;"2013-07-07";15;"BEVERAGES";624;0
"335218";335217;"2013-07-08";15;"BEVERAGES";682;0
"337000";336999;"2013-07-09";15;"BEVERAGES";466;0
"338782";338781;"2013-07-10";15;"BEVERAGES";576;0
"340564";340563;"2013-07-11";15;"BEVERAGES";549;0
"342346";342345;"2013-07-12";15;"BEVERAGES";705;0
"344128";344127;"2013-07-13";15;"BEVERAGES";653;0
"345910";345909;"2013-07-14";15;"BEVERAGES";529;0
"347692";347691;"2013-07-15";15;"BEVERAGES";615;0
"349474";349473;"2013-07-16";15;"BEVERAGES";463;0
"351256";351255;"2013-07-17";15;"BEVERAGES";414;0
"353038";353037;"2013-07-18";15;"BEVERAGES";588;0
"354820";354819;"2013-07-19";15;"BEVERAGES";479;0
"356602";356601;"2013-07-20";15;"BEVERAGES";627;0
"358384";358383;"2013-07-21";15;"BEVERAGES";517;0
"360166";360165;"2013-07-22";15;"BEVERAGES";545;0
"361948";361947;"2013-07-23";15;"BEVERAGES";588;0
"363730";363729;"2013-07-24";15;"BEVERAGES";557;0
"365512";365511;"2013-07-25";15;"BEVERAGES";561;0
"367294";367293;"2013-07-26";15;"BEVERAGES";750;0
"369076";369075;"2013-07-27";15;"BEVERAGES";683;0
"370858";370857;"2013-07-28";15;"BEVERAGES";512;0
"372640";372639;"2013-07-29";15;"BEVERAGES";629;0
"374422";374421;"2013-07-30";15;"BEVERAGES";455;0
"376204";376203;"2013-07-31";15;"BEVERAGES";1326;0
"377986";377985;"2013-08-01";15;"BEVERAGES";674;0
"379768";379767;"2013-08-02";15;"BEVERAGES";636;0
"381550";381549;"2013-08-03";15;"BEVERAGES";671;0
"383332";383331;"2013-08-04";15;"BEVERAGES";511;0
"385114";385113;"2013-08-05";15;"BEVERAGES";815;0
"386896";386895;"2013-08-06";15;"BEVERAGES";618;0
"388678";388677;"2013-08-07";15;"BEVERAGES";543;0
"390460";390459;"2013-08-08";15;"BEVERAGES";537;0
"392242";392241;"2013-08-09";15;"BEVERAGES";840;0
"394024";394023;"2013-08-10";15;"BEVERAGES";3002;0
"395806";395805;"2013-08-11";15;"BEVERAGES";640;0
"397588";397587;"2013-08-12";15;"BEVERAGES";626;0
"399370";399369;"2013-08-13";15;"BEVERAGES";474;0
"401152";401151;"2013-08-14";15;"BEVERAGES";588;0
"402934";402933;"2013-08-15";15;"BEVERAGES";605;0
"404716";404715;"2013-08-16";15;"BEVERAGES";3012;0
"406498";406497;"2013-08-17";15;"BEVERAGES";802;0
"408280";408279;"2013-08-18";15;"BEVERAGES";600;0
"410062";410061;"2013-08-19";15;"BEVERAGES";763;0
"411844";411843;"2013-08-20";15;"BEVERAGES";1459;0
"413626";413625;"2013-08-21";15;"BEVERAGES";596;0
"415408";415407;"2013-08-22";15;"BEVERAGES";871;0
"417190";417189;"2013-08-23";15;"BEVERAGES";661;0
"418972";418971;"2013-08-24";15;"BEVERAGES";767;0
"420754";420753;"2013-08-25";15;"BEVERAGES";396;0
"422536";422535;"2013-08-26";15;"BEVERAGES";521;0
"424318";424317;"2013-08-27";15;"BEVERAGES";591;0
"426100";426099;"2013-08-28";15;"BEVERAGES";455;0
"427882";427881;"2013-08-29";15;"BEVERAGES";381;0
"429664";429663;"2013-08-30";15;"BEVERAGES";788;0
"431446";431445;"2013-08-31";15;"BEVERAGES";743;0
"433228";433227;"2013-09-01";15;"BEVERAGES";726;0
"435010";435009;"2013-09-02";15;"BEVERAGES";895;0
"436792";436791;"2013-09-03";15;"BEVERAGES";639;0
"438574";438573;"2013-09-04";15;"BEVERAGES";520;0
"440356";440355;"2013-09-05";15;"BEVERAGES";512;0
"442138";442137;"2013-09-06";15;"BEVERAGES";631;0
"443920";443919;"2013-09-07";15;"BEVERAGES";987;0
"445702";445701;"2013-09-08";15;"BEVERAGES";706;0
"447484";447483;"2013-09-09";15;"BEVERAGES";608;0
"449266";449265;"2013-09-10";15;"BEVERAGES";788;0
"451048";451047;"2013-09-11";15;"BEVERAGES";465;0
"452830";452829;"2013-09-12";15;"BEVERAGES";538;0
"454612";454611;"2013-09-13";15;"BEVERAGES";713;0
"456394";456393;"2013-09-14";15;"BEVERAGES";799;0
"458176";458175;"2013-09-15";15;"BEVERAGES";727;0
"459958";459957;"2013-09-16";15;"BEVERAGES";573;0
"461740";461739;"2013-09-17";15;"BEVERAGES";485;0
"463522";463521;"2013-09-18";15;"BEVERAGES";602;0
"465304";465303;"2013-09-19";15;"BEVERAGES";488;0
"467086";467085;"2013-09-20";15;"BEVERAGES";734;0
"468868";468867;"2013-09-21";15;"BEVERAGES";1000;0
"470650";470649;"2013-09-22";15;"BEVERAGES";925;0
"472432";472431;"2013-09-23";15;"BEVERAGES";931;0
"474214";474213;"2013-09-24";15;"BEVERAGES";794;0
"475996";475995;"2013-09-25";15;"BEVERAGES";829;0
"477778";477777;"2013-09-26";15;"BEVERAGES";594;0
"479560";479559;"2013-09-27";15;"BEVERAGES";593;0
"481342";481341;"2013-09-28";15;"BEVERAGES";873;0
"483124";483123;"2013-09-29";15;"BEVERAGES";677;0
"484906";484905;"2013-09-30";15;"BEVERAGES";629;0
"486688";486687;"2013-10-01";15;"BEVERAGES";837;0
"488470";488469;"2013-10-02";15;"BEVERAGES";656;0
"490252";490251;"2013-10-03";15;"BEVERAGES";725;0
"492034";492033;"2013-10-04";15;"BEVERAGES";564;0
"493816";493815;"2013-10-05";15;"BEVERAGES";900;0
"495598";495597;"2013-10-06";15;"BEVERAGES";726;0
"497380";497379;"2013-10-07";15;"BEVERAGES";844;0
"499162";499161;"2013-10-08";15;"BEVERAGES";593;0
"500944";500943;"2013-10-09";15;"BEVERAGES";454;0
"502726";502725;"2013-10-10";15;"BEVERAGES";426;0
"504508";504507;"2013-10-11";15;"BEVERAGES";537;0
"506290";506289;"2013-10-12";15;"BEVERAGES";761;0
"508072";508071;"2013-10-13";15;"BEVERAGES";607;0
"509854";509853;"2013-10-14";15;"BEVERAGES";410;0
"511636";511635;"2013-10-15";15;"BEVERAGES";447;0
"513418";513417;"2013-10-16";15;"BEVERAGES";393;0
"515200";515199;"2013-10-17";15;"BEVERAGES";698;0
"516982";516981;"2013-10-18";15;"BEVERAGES";499;0
"518764";518763;"2013-10-19";15;"BEVERAGES";626;0
"520546";520545;"2013-10-20";15;"BEVERAGES";727;0
"522328";522327;"2013-10-21";15;"BEVERAGES";653;0
"524110";524109;"2013-10-22";15;"BEVERAGES";679;0
"525892";525891;"2013-10-23";15;"BEVERAGES";545;0
"527674";527673;"2013-10-24";15;"BEVERAGES";531;0
"529456";529455;"2013-10-25";15;"BEVERAGES";646;0
"531238";531237;"2013-10-26";15;"BEVERAGES";707;0
"533020";533019;"2013-10-27";15;"BEVERAGES";595;0
"534802";534801;"2013-10-28";15;"BEVERAGES";774;0
"536584";536583;"2013-10-29";15;"BEVERAGES";731;0
"538366";538365;"2013-10-30";15;"BEVERAGES";698;0
"540148";540147;"2013-10-31";15;"BEVERAGES";614;0
"541930";541929;"2013-11-01";15;"BEVERAGES";641;0
"543712";543711;"2013-11-02";15;"BEVERAGES";564;0
"545494";545493;"2013-11-03";15;"BEVERAGES";775;0
"547276";547275;"2013-11-04";15;"BEVERAGES";633;0
"549058";549057;"2013-11-05";15;"BEVERAGES";747;0
"550840";550839;"2013-11-06";15;"BEVERAGES";626;0
"552622";552621;"2013-11-07";15;"BEVERAGES";387;0
"554404";554403;"2013-11-08";15;"BEVERAGES";615;0
"556186";556185;"2013-11-09";15;"BEVERAGES";733;0
"557968";557967;"2013-11-10";15;"BEVERAGES";833;0
"559750";559749;"2013-11-11";15;"BEVERAGES";748;0
"561532";561531;"2013-11-12";15;"BEVERAGES";631;0
"563314";563313;"2013-11-13";15;"BEVERAGES";474;0
"565096";565095;"2013-11-14";15;"BEVERAGES";639;0
"566878";566877;"2013-11-15";15;"BEVERAGES";733;0
"568660";568659;"2013-11-16";15;"BEVERAGES";685;0
"570442";570441;"2013-11-17";15;"BEVERAGES";811;0
"572224";572223;"2013-11-18";15;"BEVERAGES";960;0
"574006";574005;"2013-11-19";15;"BEVERAGES";506;0
"575788";575787;"2013-11-20";15;"BEVERAGES";578;0
"577570";577569;"2013-11-21";15;"BEVERAGES";563;0
"579352";579351;"2013-11-22";15;"BEVERAGES";455;0
"581134";581133;"2013-11-23";15;"BEVERAGES";792;0
"582916";582915;"2013-11-24";15;"BEVERAGES";563;0
"584698";584697;"2013-11-25";15;"BEVERAGES";927;0
"586480";586479;"2013-11-26";15;"BEVERAGES";438;0
"588262";588261;"2013-11-27";15;"BEVERAGES";616;0
"590044";590043;"2013-11-28";15;"BEVERAGES";422;0
"591826";591825;"2013-11-29";15;"BEVERAGES";460;0
"593608";593607;"2013-11-30";15;"BEVERAGES";664;0
"595390";595389;"2013-12-01";15;"BEVERAGES";830;0
"597172";597171;"2013-12-02";15;"BEVERAGES";673;0
"598954";598953;"2013-12-03";15;"BEVERAGES";600;0
"600736";600735;"2013-12-04";15;"BEVERAGES";550;0
"602518";602517;"2013-12-05";15;"BEVERAGES";630;0
"604300";604299;"2013-12-06";15;"BEVERAGES";547;0
"606082";606081;"2013-12-07";15;"BEVERAGES";685;0
"607864";607863;"2013-12-08";15;"BEVERAGES";623;0
"609646";609645;"2013-12-09";15;"BEVERAGES";549;0
"611428";611427;"2013-12-10";15;"BEVERAGES";514;0
"613210";613209;"2013-12-11";15;"BEVERAGES";474;0
"614992";614991;"2013-12-12";15;"BEVERAGES";490;0
"616774";616773;"2013-12-13";15;"BEVERAGES";561;0
"618556";618555;"2013-12-14";15;"BEVERAGES";840;0
"620338";620337;"2013-12-15";15;"BEVERAGES";761;0
"622120";622119;"2013-12-16";15;"BEVERAGES";696;0
"623902";623901;"2013-12-17";15;"BEVERAGES";584;0
"625684";625683;"2013-12-18";15;"BEVERAGES";458;0
"627466";627465;"2013-12-19";15;"BEVERAGES";577;0
"629248";629247;"2013-12-20";15;"BEVERAGES";734;0
"631030";631029;"2013-12-21";15;"BEVERAGES";669;0
"632812";632811;"2013-12-22";15;"BEVERAGES";474;0
"634594";634593;"2013-12-23";15;"BEVERAGES";664;0
"636376";636375;"2013-12-24";15;"BEVERAGES";695;0
"638158";638157;"2013-12-26";15;"BEVERAGES";706;0
"639940";639939;"2013-12-27";15;"BEVERAGES";649;0
"641722";641721;"2013-12-28";15;"BEVERAGES";708;0
"643504";643503;"2013-12-29";15;"BEVERAGES";445;0
"645286";645285;"2013-12-30";15;"BEVERAGES";1048;0
"647068";647067;"2013-12-31";15;"BEVERAGES";759;0
"648850";648849;"2014-01-01";15;"BEVERAGES";0;0
"650632";650631;"2014-01-02";15;"BEVERAGES";1564;0
"652414";652413;"2014-01-03";15;"BEVERAGES";1473;0
"654196";654195;"2014-01-04";15;"BEVERAGES";1510;0
"655978";655977;"2014-01-05";15;"BEVERAGES";1590;0
"657760";657759;"2014-01-06";15;"BEVERAGES";1347;0
"659542";659541;"2014-01-07";15;"BEVERAGES";1248;0
"661324";661323;"2014-01-08";15;"BEVERAGES";1111;0
"663106";663105;"2014-01-09";15;"BEVERAGES";1179;0
"664888";664887;"2014-01-10";15;"BEVERAGES";1114;0
"666670";666669;"2014-01-11";15;"BEVERAGES";1428;0
"668452";668451;"2014-01-12";15;"BEVERAGES";1267;0
"670234";670233;"2014-01-13";15;"BEVERAGES";1297;0
"672016";672015;"2014-01-14";15;"BEVERAGES";1170;0
"673798";673797;"2014-01-15";15;"BEVERAGES";976;0
"675580";675579;"2014-01-16";15;"BEVERAGES";1046;0
"677362";677361;"2014-01-17";15;"BEVERAGES";1079;0
"679144";679143;"2014-01-18";15;"BEVERAGES";1229;0
"680926";680925;"2014-01-19";15;"BEVERAGES";1176;0
"682708";682707;"2014-01-20";15;"BEVERAGES";1270;0
"684490";684489;"2014-01-21";15;"BEVERAGES";1462;0
"686272";686271;"2014-01-22";15;"BEVERAGES";1144;0
"688054";688053;"2014-01-23";15;"BEVERAGES";995;0
"689836";689835;"2014-01-24";15;"BEVERAGES";1071;0
"691618";691617;"2014-01-25";15;"BEVERAGES";1215;0
"693400";693399;"2014-01-26";15;"BEVERAGES";1440;0
"695182";695181;"2014-01-27";15;"BEVERAGES";1157;0
"696964";696963;"2014-01-28";15;"BEVERAGES";1268;0
"698746";698745;"2014-01-29";15;"BEVERAGES";1150;0
"700528";700527;"2014-01-30";15;"BEVERAGES";987;0
"702310";702309;"2014-01-31";15;"BEVERAGES";996;0
"704092";704091;"2014-02-01";15;"BEVERAGES";726;0
"705874";705873;"2014-02-02";15;"BEVERAGES";563;0
"707656";707655;"2014-02-03";15;"BEVERAGES";724;0
"709438";709437;"2014-02-04";15;"BEVERAGES";653;0
"711220";711219;"2014-02-05";15;"BEVERAGES";520;0
"713002";713001;"2014-02-06";15;"BEVERAGES";347;0
"714784";714783;"2014-02-07";15;"BEVERAGES";508;0
"716566";716565;"2014-02-08";15;"BEVERAGES";682;0
"718348";718347;"2014-02-09";15;"BEVERAGES";581;0
"720130";720129;"2014-02-10";15;"BEVERAGES";601;0
"721912";721911;"2014-02-11";15;"BEVERAGES";497;0
"723694";723693;"2014-02-12";15;"BEVERAGES";559;0
"725476";725475;"2014-02-13";15;"BEVERAGES";512;0
"727258";727257;"2014-02-14";15;"BEVERAGES";608;0
"729040";729039;"2014-02-15";15;"BEVERAGES";830;0
"730822";730821;"2014-02-16";15;"BEVERAGES";590;0
"732604";732603;"2014-02-17";15;"BEVERAGES";800;0
"734386";734385;"2014-02-18";15;"BEVERAGES";706;0
"736168";736167;"2014-02-19";15;"BEVERAGES";521;0
"737950";737949;"2014-02-20";15;"BEVERAGES";519;0
"739732";739731;"2014-02-21";15;"BEVERAGES";392;0
"741514";741513;"2014-02-22";15;"BEVERAGES";766;0
"743296";743295;"2014-02-23";15;"BEVERAGES";535;0
"745078";745077;"2014-02-24";15;"BEVERAGES";580;0
"746860";746859;"2014-02-25";15;"BEVERAGES";580;0
"748642";748641;"2014-02-26";15;"BEVERAGES";525;0
"750424";750423;"2014-02-27";15;"BEVERAGES";513;0
"752206";752205;"2014-02-28";15;"BEVERAGES";536;0
"753988";753987;"2014-03-01";15;"BEVERAGES";1555;0
"755770";755769;"2014-03-02";15;"BEVERAGES";998;0
"757552";757551;"2014-03-03";15;"BEVERAGES";963;0
"759334";759333;"2014-03-04";15;"BEVERAGES";844;0
"761116";761115;"2014-03-05";15;"BEVERAGES";1569;0
"762898";762897;"2014-03-06";15;"BEVERAGES";1344;0
"764680";764679;"2014-03-07";15;"BEVERAGES";1152;0
"766462";766461;"2014-03-08";15;"BEVERAGES";1507;0
"768244";768243;"2014-03-09";15;"BEVERAGES";1391;0
"770026";770025;"2014-03-10";15;"BEVERAGES";1384;0
"771808";771807;"2014-03-11";15;"BEVERAGES";1057;0
"773590";773589;"2014-03-12";15;"BEVERAGES";1029;0
"775372";775371;"2014-03-13";15;"BEVERAGES";1141;0
"777154";777153;"2014-03-14";15;"BEVERAGES";960;0
"778936";778935;"2014-03-15";15;"BEVERAGES";1236;0
"780718";780717;"2014-03-16";15;"BEVERAGES";1133;0
"782500";782499;"2014-03-17";15;"BEVERAGES";1271;0
"784282";784281;"2014-03-18";15;"BEVERAGES";1044;0
"786064";786063;"2014-03-19";15;"BEVERAGES";1109;0
"787846";787845;"2014-03-20";15;"BEVERAGES";1096;0
"789628";789627;"2014-03-21";15;"BEVERAGES";929;0
"791410";791409;"2014-03-22";15;"BEVERAGES";1370;0
"793192";793191;"2014-03-23";15;"BEVERAGES";1111;0
"794974";794973;"2014-03-24";15;"BEVERAGES";1284;0
"796756";796755;"2014-03-25";15;"BEVERAGES";1339;0
"798538";798537;"2014-03-26";15;"BEVERAGES";1082;0
"800320";800319;"2014-03-27";15;"BEVERAGES";1169;0
"802102";802101;"2014-03-28";15;"BEVERAGES";1176;0
"803884";803883;"2014-03-29";15;"BEVERAGES";1446;0
"805666";805665;"2014-03-30";15;"BEVERAGES";1254;0
"807448";807447;"2014-03-31";15;"BEVERAGES";1474;0
"809230";809229;"2014-04-01";15;"BEVERAGES";669;0
"811012";811011;"2014-04-02";15;"BEVERAGES";721;0
"812794";812793;"2014-04-03";15;"BEVERAGES";725;0
"814576";814575;"2014-04-04";15;"BEVERAGES";824;0
"816358";816357;"2014-04-05";15;"BEVERAGES";1263;0
"818140";818139;"2014-04-06";15;"BEVERAGES";1111;0
"819922";819921;"2014-04-07";15;"BEVERAGES";739;0
"821704";821703;"2014-04-08";15;"BEVERAGES";534;0
